,ts,error
606,3717961,12304
607,3718051,4112
608,3718341,12304
609,3718401,4112
610,3719961,12304
611,3719991,4112
612,3720841,12304
613,3720941,4112
614,3721031,12304
615,3721171,4112
616,3721341,12304
617,3721721,4112
618,3721981,12304
619,3721991,4112
620,3722161,12304
621,3722341,4112
622,3722451,12304
623,3722481,4112
624,3723581,12304
625,3723611,4112
626,3723701,12304
627,3723741,4112
628,3723821,12304
629,3723941,4112
630,3724031,12304
631,3724061,4112
632,3724231,12304
633,3724241,4112
634,3725441,12304
635,3725451,4112
636,3725711,12304
637,3725751,4112
638,3725961,12304
639,3725971,4112
640,3726061,12304
641,3726101,4112
642,3726181,12304
643,3726191,4112
644,3727481,12304
645,3727491,4112
646,3727971,12304
647,3727981,4112
648,3728371,12304
649,3728381,4112
650,3728551,12304
651,3728761,4112
652,3729631,12304
653,3729641,4112
654,3732571,12304
655,3732591,4112
656,3733301,12304
657,3733331,4112
658,3733871,12304
659,3733911,4112
660,3734471,12304
661,3734541,4112
662,3735401,12304
663,3735421,4112
664,3735551,12304
665,3735581,4112
666,3735881,12304
667,3735901,4112
668,3736091,12304
669,3736141,4112
670,3736491,12304
671,3736531,4112
672,3737211,12304
673,3737261,4112
674,3737371,12304
675,3737461,4112
676,3737641,12304
677,3737711,4112
678,3737981,12304
679,3738061,4112
680,3738861,12304
681,3738871,4112
682,3739091,12304
683,3739101,4112
684,3741151,12304
685,3741161,4112
686,3743571,12304
687,3743591,4112
688,3743801,12304
689,3743811,4112
690,3744131,12304
691,3744141,4112
692,3746221,12304
693,3746231,4112
694,3747471,12304
695,3747501,4112
696,3747601,12304
697,3747651,4112
698,3747931,12304
699,3747961,4112
700,3748441,12304
701,3748461,4112
702,3749231,12304
703,3749371,4112
704,3749491,12304
705,3749511,4112
706,3750161,12304
707,3750201,4112
708,3750521,12304
709,3750541,4112
710,3750891,12304
711,3750901,4112
712,3751061,12304
713,3751151,4112
714,3751471,12304
715,3751581,4112
716,3751671,12304
717,3751681,4112
718,3752201,12304
719,3752221,4112
720,3753301,12304
721,3753321,4112
722,3753491,12304
723,3753641,4112
724,3753731,12304
725,3753761,4112
726,3753851,12304
727,3753971,4112
728,3754061,12304
729,3754091,4112
730,3754181,12304
731,3754211,4112
732,3754901,12304
733,3754921,4112
734,3755011,12304
735,3755021,4112
736,3755111,12304
737,3755171,4112
738,3756501,12304
739,3756541,4112
740,3756711,12304
741,3756781,4112
742,3757141,12304
743,3757191,4112
744,3757281,12304
745,3757391,4112
746,3757881,12304
747,3757901,4112
748,3760881,12304
749,3760891,4112
750,3761591,12304
751,3761621,4112
752,3761741,12304
753,3761921,4112
754,3763951,12304
755,3763961,4112
756,3764531,12304
757,3764581,4112
758,3766151,12304
759,3766201,4112
760,3767351,12304
761,3767391,4112
762,3768841,12304
763,3768861,4112
764,3769361,12304
765,3769481,4112
766,3771071,12304
767,3771851,4112
768,3771941,12304
769,3772461,4112
770,3774571,12304
771,3774641,4112
772,3775281,12304
773,3775381,4112
774,3775471,12304
775,3775891,4112
776,3777351,12304
777,3777361,4112
778,3777451,12304
779,3777501,4112
780,3777801,12304
781,3777831,4112
782,3777921,12304
783,3778381,4112
784,3778571,12304
785,3778641,4112
786,3779271,12304
787,3779331,4112
788,3779421,12304
789,3779961,4112
790,3780081,12304
791,3780121,4112
792,3780291,12304
793,3780341,4112
794,3780581,12304
795,3780611,4112
796,3780941,12304
797,3780961,4112
798,3782641,12304
799,3782651,4112
800,3783041,12304
801,3783391,4112
802,3783481,12304
803,3783561,4112
804,3783681,12304
805,3783721,4112
806,3784671,12304
807,3784691,4112
808,3785171,12304
809,3785181,4112
810,3786291,12304
811,3786471,4112
812,3786561,12304
813,3786661,4112
814,3786991,12304
815,3787071,4112
816,3787451,12304
817,3787501,4112
818,3787641,12304
819,3787691,4112
820,3787841,12304
821,3787911,4112
822,3788111,12304
823,3788131,4112
824,3788301,12304
825,3788351,4112
826,3789431,12304
827,3789491,4112
828,3789621,12304
829,3789631,4112
830,3789821,12304
831,3789911,4112
832,3791071,12304
833,3791201,4112
834,3791291,12304
835,3791351,4112
836,3791441,12304
837,3791451,4112
838,3791551,12304
839,3791561,4112
840,3791851,12304
841,3791891,4112
842,3792101,12304
843,3792121,4112
844,3792611,12304
845,3792621,4112
846,3793871,12304
847,3793881,4112
848,3794111,12304
849,3794121,4112
850,3794241,12304
851,3794281,4112
852,3794401,12304
853,3794441,4112
854,3794771,12304
855,3794791,4112
856,3794991,12304
857,3795131,4112
858,3795831,12304
859,3795841,4112
860,3796361,12304
861,3796391,4112
862,3796511,12304
863,3796771,4112
864,3796861,12304
865,3796981,4112
866,3797091,12304
867,3797311,4112
868,3797401,12304
869,3797991,4112
870,3798711,12304
871,3798721,4112
872,3798891,12304
873,3798901,4112
874,3799321,12304
875,3799471,4112
876,3799571,12304
877,3799651,4112
878,3799811,12304
879,3799821,4112
880,3799911,12304
881,3799961,4112
882,3802261,12304
883,3802291,4112
884,3802561,12304
885,3802661,4112
886,3803051,12304
887,3803061,4112
888,3803151,12304
889,3803251,4112
890,3803741,12304
891,3803771,4112
892,3803861,12304
893,3803871,4112
894,3804751,12304
895,3804761,4112
896,3805481,12304
897,3805681,4112
898,3805921,12304
899,3805941,4112
900,3806121,12304
901,3806151,4112
902,3806271,12304
903,3806301,4112
904,3806771,12304
905,3806791,4112
906,3806991,12304
907,3807001,4112
908,3807701,12304
909,3807781,4112
910,3808141,12304
911,3808241,4112
912,3808391,12304
913,3808431,4112
914,3809171,12304
915,3809211,4112
916,3810781,12304
917,3810791,4112
918,3810921,12304
919,3811151,4112
920,3812181,12304
921,3812191,4112
922,3813041,12304
923,3813071,4112
924,3813161,12304
925,3813561,4112
926,3813951,12304
927,3814011,4112
928,3814121,12304
929,3814181,4112
930,3814581,12304
931,3814681,4112
932,3814771,12304
933,3814841,4112
934,3815701,12304
935,3815711,4112
936,3816511,12304
937,3816521,4112
938,3816611,12304
939,3817081,4112
940,3817211,12304
941,3817221,4112
942,3817311,12304
943,3817511,4112
944,3817601,12304
945,3817921,4112
946,3818011,12304
947,3818101,4112
948,3818921,12304
949,3818931,4112
950,3819381,12304
951,3819391,4112
952,3819501,12304
953,3819581,4112
954,3820261,12304
955,3820291,4112
956,3821081,12304
957,3821121,4112
958,3821421,12304
959,3821451,4112
960,3824321,12304
961,3824421,4112
962,3826601,12304
963,3826661,4112
964,3826751,12304
965,3826761,4112
966,3827201,12304
967,3827211,4112
968,3827401,12304
969,3827411,4112
970,3827881,12304
971,3827971,4112
972,3829081,12304
973,3829111,4112
974,3829641,12304
975,3829791,4112
976,3829881,12304
977,3829901,4112
978,3831561,12304
979,3831681,4112
980,3832011,12304
981,3832451,12368
982,3832451,12496
983,3832451,28880
984,3832481,20688
985,3832481,4304
986,3832511,4240
