,ts,Ax,Ay,Az
505,22436,-1,-1,0
506,22446,0,-1,0
507,22456,0,-1,0
508,22466,-1,-1,0
509,22476,0,-1,0
510,22486,0,-1,0
511,22496,0,-1,0
512,22506,-1,-1,0
513,22516,0,-1,0
514,22526,0,-1,0
515,22536,0,-1,0
516,22546,0,-1,0
517,22556,0,0,0
518,22566,-1,-1,0
519,22576,-1,-1,0
520,22586,0,-1,0
521,22596,0,-1,0
522,22606,0,-1,0
523,22616,0,-1,0
524,22626,0,-1,0
525,22636,0,-1,0
526,22646,0,-2,0
527,22656,0,-1,0
528,22666,-1,-1,0
529,22676,-1,-1,0
530,22686,-1,-1,0
531,22696,0,-1,0
532,22706,0,-1,0
533,22716,0,-1,0
534,22726,0,-1,0
535,22736,0,-1,0
536,22746,0,-1,0
537,22756,0,-1,0
538,22766,-1,-1,0
539,22776,-1,-1,0
540,22786,-1,-1,0
541,22796,-1,-1,0
542,22806,-1,-1,0
543,22816,0,-1,0
544,22826,0,-1,0
545,22836,0,-1,0
546,22846,0,-1,0
547,22856,-1,-1,0
548,22866,0,-1,0
549,22876,0,-1,0
550,22886,-1,-1,0
551,22896,-1,-1,0
552,22906,0,-1,0
553,22916,-1,-1,0
554,22926,-1,-1,0
555,22936,0,-1,0
556,22946,0,-1,0
557,22956,0,-1,0
558,22966,0,-1,0
559,22976,0,-1,0
560,22986,0,-1,0
561,22996,0,-1,0
562,23006,-1,-1,0
563,23016,-1,-1,0
564,23026,-1,-1,0
565,23036,0,-1,0
566,23046,-1,-1,0
567,23056,-1,-1,0
568,23066,0,-1,0
569,23076,-1,-1,0
570,23086,-1,-1,0
571,23096,-1,-1,0
572,23106,0,-2,0
573,23116,0,-2,0
574,23126,0,-1,0
575,23136,0,-1,0
576,23146,0,-1,0
577,23156,0,-1,0
578,23166,0,-1,0
579,23176,0,-1,0
580,23186,0,-1,0
581,23196,0,-1,0
582,23206,0,-1,0
583,23216,0,-1,0
584,23226,-1,-1,0
585,23236,-1,-1,0
586,23246,-1,-1,0
587,23256,-1,-1,0
588,23266,-1,-1,0
589,23276,-1,-1,0
590,23286,-1,-1,0
591,23296,-1,-1,0
592,23306,-1,-1,0
593,23316,-1,-2,0
594,23326,-1,-1,0
595,23336,0,-1,0
596,23346,0,-1,0
597,23356,0,-1,0
598,23366,0,-1,0
599,23376,0,-1,0
600,23386,0,-1,0
601,23396,-1,-1,0
602,23406,0,-1,0
603,23416,0,-1,0
604,23426,0,-1,0
605,23436,0,-1,0
606,23446,0,-1,0
607,23456,0,-1,0
608,23466,0,-1,0
609,23476,0,-1,0
610,23486,0,-1,0
611,23496,-1,-1,0
612,23506,-1,-1,0
613,23516,-1,-1,0
614,23526,-1,-1,0
615,23536,-1,-1,0
616,23546,-1,-1,0
617,23556,0,-1,0
618,23566,-1,-1,0
619,23576,0,-1,0
620,23586,0,-1,0
621,23596,0,-1,0
622,23606,0,-1,0
623,23616,0,-1,0
624,23626,0,-1,0
625,23636,0,-1,0
626,23646,0,-1,0
627,23656,-1,-1,0
628,23666,-1,-1,0
629,23676,-1,-1,0
630,23686,-1,-1,0
631,23696,-1,-1,0
632,23706,-1,-1,0
633,23716,-1,-1,0
634,23726,-1,-2,0
635,23736,-1,-2,0
636,23746,-1,-1,0
637,23756,-1,-1,0
638,23766,0,-1,0
639,23776,-1,-1,0
640,23786,-1,-1,0
641,23796,0,-1,0
642,23806,0,-1,0
643,23816,0,-1,0
644,23826,0,-1,0
645,23836,-1,-1,0
646,23846,-1,-1,0
647,23856,-1,-1,0
648,23866,-1,-1,0
649,23876,-1,-1,0
650,23886,-1,-1,0
651,23896,0,-1,0
652,23906,0,-1,0
653,23916,0,-1,0
654,23926,-1,-1,0
655,23936,-1,-1,0
656,23946,-1,-1,0
657,23956,-1,-1,0
658,23966,0,-1,0
659,23976,-1,-1,0
660,23986,-1,-1,0
661,23996,0,-1,0
662,24006,0,-1,0
663,24016,-1,-1,0
664,24026,-1,-1,0
665,24036,-1,-1,0
666,24046,-1,-1,0
667,24056,0,-1,0
668,24066,-1,-1,0
669,24076,-1,-1,0
670,24086,0,-1,0
671,24096,0,-1,0
672,24106,0,-1,0
673,24116,0,-1,0
674,24126,-1,-1,0
675,24136,-1,-1,0
676,24146,-1,-1,0
677,24156,0,-1,0
678,24166,-1,-1,0
679,24176,-1,-1,0
680,24186,-1,-1,0
681,24196,-1,-1,0
682,24206,-1,-1,0
683,24216,-1,-1,0
684,24226,0,-1,0
685,24236,-1,-1,0
686,24246,-1,-1,0
687,24256,-1,-1,0
688,24266,-1,-1,0
689,24276,-1,-2,0
690,24286,-1,-1,0
691,24296,-1,-1,0
692,24306,-1,-1,0
693,24316,-1,-1,0
694,24326,-1,-1,0
695,24336,-1,-1,0
696,24346,-1,-2,0
697,24356,-1,-2,0
698,24366,-1,-1,0
699,24376,-1,-1,0
700,24386,-1,-1,0
701,24396,-1,-1,0
702,24406,-1,-1,0
703,24416,-1,-1,0
704,24426,-1,-2,0
705,24436,-1,-2,0
706,24446,-1,-1,0
707,24456,-1,-1,0
708,24466,-1,-1,0
709,24476,0,-1,0
710,24486,-1,-1,0
711,24496,-1,-1,0
712,24506,-1,-1,0
713,24516,-1,-1,0
714,24526,-1,-1,0
715,24536,-1,-1,0
716,24546,0,-1,0
717,24556,-1,-1,0
718,24566,-1,-1,0
719,24576,-1,-2,0
720,24586,-1,-1,0
721,24596,-1,-1,0
722,24606,0,-1,0
723,24616,0,-1,0
724,24626,0,-1,0
725,24636,-1,-1,0
726,24646,-1,-1,0
727,24656,-1,-1,0
728,24666,-1,-1,0
729,24676,0,-2,0
730,24686,-1,-2,0
731,24696,0,-1,0
732,24706,-1,-1,0
733,24716,-1,-1,0
734,24726,-1,-1,0
735,24736,0,-1,0
736,24746,0,-1,0
737,24756,0,-1,0
738,24766,0,-1,0
739,24776,-1,-1,0
740,24786,0,-1,0
741,24796,0,-1,0
742,24806,0,-1,0
743,24816,-1,-2,0
744,24826,-1,-2,0
745,24836,-1,-1,0
746,24846,-1,-1,0
747,24856,0,-1,0
748,24866,0,-1,0
749,24876,0,-1,0
750,24886,0,-1,0
751,24896,0,-1,0
752,24906,0,-1,0
753,24916,-1,-1,0
754,24926,-1,-1,0
755,24936,-1,-1,0
756,24946,-1,-1,0
757,24956,-1,-1,0
758,24966,-1,-1,0
759,24976,-1,-2,0
760,24986,-1,-1,0
761,24996,0,-1,0
762,25006,0,-1,0
763,25016,0,-1,0
764,25026,0,-1,0
765,25036,0,-1,0
766,25046,0,-1,0
767,25056,0,-1,0
768,25066,0,-1,0
769,25076,-1,-1,0
770,25086,-1,-1,0
771,25096,-1,-1,0
772,25106,-1,-1,0
773,25116,-1,-2,0
774,25126,-1,-1,0
775,25136,-1,-1,0
776,25146,0,-1,0
777,25156,-1,-1,0
778,25166,0,-1,0
779,25176,0,-1,0
780,25186,0,-1,0
781,25196,0,-1,0
782,25206,0,-1,0
783,25216,0,-1,0
784,25226,-1,-1,0
785,25236,-1,-1,0
786,25246,-1,-1,0
787,25256,-1,-1,0
788,25266,-1,-2,0
789,25276,-1,-1,0
790,25286,-1,-1,0
791,25296,0,-1,0
792,25306,0,-1,0
793,25316,0,-1,0
794,25326,0,-1,0
795,25336,0,-1,0
796,25346,0,-1,0
797,25356,-1,-1,0
798,25366,-1,-1,0
799,25376,-1,-1,0
800,25386,-1,-1,0
801,25396,-1,-1,0
802,25406,-1,-1,0
803,25416,-1,-2,0
804,25426,-1,-2,0
805,25436,-1,-2,0
806,25446,-1,-1,0
807,25456,-1,-1,0
808,25466,-1,-1,0
809,25476,-1,-1,0
810,25486,-1,-1,0
811,25496,-1,-1,0
812,25506,-1,-1,0
813,25516,-1,-2,0
814,25526,-1,-1,0
815,25536,0,-1,0
816,25546,-1,-1,0
817,25556,-1,-1,0
818,25566,-1,-1,0
819,25576,-1,-1,0
820,25586,0,-1,0
821,25596,0,-1,0
822,25606,0,-1,0
823,25616,0,-1,0
824,25626,0,-1,0
825,25636,0,-1,0
826,25646,-1,-1,0
827,25656,-1,-1,0
828,25666,0,-1,0
829,25676,-1,-1,0
830,25686,-1,-1,0
831,25696,-1,-1,0
832,25706,-1,-1,0
833,25716,-1,-1,0
834,25726,0,-1,0
835,25736,0,-1,0
836,25746,-1,-1,0
837,25756,0,-1,0
838,25766,0,-1,0
839,25776,0,-1,0
840,25786,0,-1,0
841,25796,0,-1,0
842,25806,-1,-1,0
843,25816,-1,-1,0
844,25826,-1,-1,0
845,25836,-1,-1,0
846,25846,-1,-1,0
847,25856,-1,-1,0
848,25866,-1,-1,0
849,25876,-1,-2,0
850,25886,0,-1,0
851,25896,0,-1,0
852,25906,-1,-1,0
853,25916,0,-1,0
854,25926,0,-1,0
855,25936,0,-1,0
856,25946,-1,-1,0
857,25956,-1,-1,0
858,25966,-1,-1,0
859,25976,-1,-1,0
860,25986,-1,-1,0
861,25996,0,-1,0
862,26006,0,-1,0
863,26016,0,-1,0
864,26026,0,-1,0
865,26036,-1,-1,0
866,26046,-1,-1,0
867,26056,-1,-1,0
868,26066,-1,-1,0
869,26076,0,-1,0
870,26086,0,-1,0
871,26096,0,-1,0
872,26106,-1,-1,0
873,26116,-1,-1,0
874,26126,-1,-1,0
875,26136,-1,-1,0
876,26146,-1,-1,0
877,26156,0,-1,0
878,26166,0,-1,0
879,26176,-1,-1,0
880,26186,-1,-1,0
881,26196,-1,-1,0
882,26206,-1,-1,0
883,26216,-1,-1,0
884,26226,0,-1,0
885,26236,0,-1,0
886,26246,-1,-1,0
887,26256,0,-1,0
888,26266,-1,-1,0
889,26276,-1,-1,0
890,26286,-1,-1,0
891,26296,0,-1,0
892,26306,0,-1,0
893,26316,-1,-1,0
894,26326,-1,-1,0
895,26336,-1,-1,0
896,26346,-1,-2,0
897,26356,0,-1,0
898,26366,0,-1,0
899,26376,0,-1,0
900,26386,0,-1,0
901,26396,-1,-1,0
902,26406,-1,-1,0
903,26416,-1,-2,0
904,26426,-1,-1,0
905,26436,0,-1,0
906,26446,0,-1,0
907,26456,0,-1,0
908,26466,-1,-1,0
909,26476,-1,-1,0
910,26486,-1,-1,0
911,26496,-1,-1,0
912,26506,0,-1,0
913,26516,0,-1,0
914,26526,0,-1,0
915,26536,-1,-1,0
916,26546,-1,-1,0
917,26556,-1,-1,0
918,26566,-1,-1,0
919,26576,-1,-1,0
920,26586,0,-1,0
921,26596,0,-1,0
922,26606,-1,-1,0
923,26616,-1,-1,0
924,26626,0,-1,0
925,26636,0,-1,0
926,26646,0,-1,0
927,26656,-1,-1,0
928,26666,-1,-1,0
929,26676,0,-1,0
930,26686,0,-1,0
931,26696,0,-1,0
932,26706,0,-1,0
933,26716,0,-1,0
934,26726,0,-1,0
935,26736,0,-1,0
936,26746,-1,-1,0
937,26756,-1,-1,0
938,26766,-1,-1,0
939,26776,-1,-2,0
940,26786,0,-1,0
941,26796,0,-1,0
942,26806,0,-1,0
943,26816,-1,-1,0
944,26826,-1,-1,0
945,26836,-1,-1,0
946,26846,-1,-1,0
947,26856,-1,-2,0
948,26866,0,-1,0
949,26876,0,-1,0
950,26886,0,-1,0
951,26896,0,-1,0
952,26906,-1,-1,0
953,26916,0,-1,0
954,26926,-1,-1,0
955,26936,-1,-1,0
956,26946,-1,-1,0
957,26956,-1,-1,0
958,26966,-1,-1,0
959,26976,-1,-1,0
960,26986,-1,-1,0
961,26996,-1,-1,0
962,27006,-1,-1,0
