,ts,id,Gx,Gy,Gz,Ax,Ay,Az
264,67189,IMU0,174,-2,-85,60,25,1076
265,67189,IMU1,17,10,0,-3,-44,1082
266,67199,IMU0,177,0,-87,62,24,1078
267,67199,IMU1,17,10,0,-3,-43,1082
268,67209,IMU0,177,0,-85,61,25,1076
269,67209,IMU1,17,10,0,-3,-44,1082
270,67219,IMU0,176,-2,-87,61,23,1074
271,67219,IMU1,17,10,0,-3,-44,1081
272,67229,IMU0,176,-3,-92,62,23,1073
273,67229,IMU1,17,9,0,-3,-44,1079
274,67239,IMU0,174,-3,-88,62,25,1073
275,67239,IMU1,16,10,0,-2,-45,1083
276,67249,IMU0,175,-3,-87,63,26,1075
277,67249,IMU1,16,10,0,-2,-45,1083
278,67259,IMU0,177,-3,-87,64,26,1074
279,67259,IMU1,17,11,0,-2,-45,1083
280,67269,IMU0,179,-5,-85,66,24,1070
281,67269,IMU1,17,10,0,-3,-45,1083
282,67279,IMU0,175,-5,-85,65,24,1075
283,67279,IMU1,16,10,-1,-2,-45,1082
284,67289,IMU0,172,-6,-82,64,21,1077
285,67289,IMU1,17,10,-1,-1,-45,1083
286,67299,IMU0,174,-5,-82,62,23,1076
287,67299,IMU1,17,10,-2,-2,-45,1081
288,67309,IMU0,171,-6,-83,63,24,1078
289,67309,IMU1,17,9,0,-3,-43,1082
290,67319,IMU0,174,-4,-83,62,25,1077
291,67319,IMU1,18,9,0,-3,-42,1082
292,67329,IMU0,169,-4,-80,61,25,1079
293,67329,IMU1,17,9,0,-3,-42,1082
294,67339,IMU0,169,-2,-87,62,22,1074
295,67339,IMU1,17,9,0,-2,-43,1083
296,67349,IMU0,175,-3,-89,64,22,1078
297,67349,IMU1,17,10,0,-1,-44,1083
298,67359,IMU0,174,-4,-86,62,22,1076
299,67359,IMU1,17,9,0,-2,-45,1082
300,67369,IMU0,175,-1,-87,63,23,1075
301,67369,IMU1,17,10,0,-2,-45,1081
302,67379,IMU0,178,0,-86,63,23,1075
303,67379,IMU1,17,9,0,-3,-44,1081
304,67389,IMU0,172,-3,-83,63,24,1077
305,67389,IMU1,16,10,0,-2,-45,1082
306,67399,IMU0,174,-2,-85,62,24,1076
307,67399,IMU1,17,10,-1,-2,-43,1081
308,67409,IMU0,176,-2,-85,63,23,1076
309,67409,IMU1,17,10,-1,-3,-43,1080
310,67419,IMU0,178,-3,-89,61,25,1076
311,67419,IMU1,18,9,0,-2,-44,1082
312,67429,IMU0,174,-3,-84,61,25,1080
313,67429,IMU1,17,10,0,-2,-44,1082
314,67439,IMU0,170,0,-84,63,22,1079
315,67439,IMU1,17,10,-1,-1,-44,1083
316,67449,IMU0,174,-1,-83,64,22,1079
317,67449,IMU1,17,10,-1,-2,-44,1083
318,67459,IMU0,168,-1,-85,64,22,1074
319,67459,IMU1,17,10,0,-3,-45,1083
320,67469,IMU0,173,0,-89,62,22,1075
321,67469,IMU1,17,10,0,-2,-45,1086
322,67479,IMU0,172,-2,-87,63,22,1073
323,67479,IMU1,17,9,0,-2,-43,1083
324,67489,IMU0,173,-3,-85,64,19,1072
325,67489,IMU1,17,9,0,-2,-44,1083
326,67499,IMU0,178,-1,-85,63,20,1077
327,67499,IMU1,17,9,1,-2,-43,1083
328,67509,IMU0,174,-5,-87,65,21,1074
329,67509,IMU1,17,9,1,-2,-43,1083
330,67519,IMU0,172,-3,-86,65,21,1071
331,67519,IMU1,17,10,0,-2,-43,1083
332,67529,IMU0,174,-1,-86,65,23,1072
333,67529,IMU1,17,9,0,-2,-44,1083
334,67539,IMU0,175,-1,-82,62,24,1076
335,67539,IMU1,17,9,-1,-2,-44,1084
336,67549,IMU0,170,-1,-84,63,23,1076
337,67549,IMU1,17,9,0,-1,-44,1084
338,67559,IMU0,171,0,-83,62,26,1079
339,67559,IMU1,16,10,-1,-2,-44,1084
340,67569,IMU0,177,0,-88,62,22,1076
